gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,act,ao,at,ceq,dltt,intan,ivaeq,ivao,lct,lo,lt,mibn,ppent,pstk,teq,txditc,costat,plot_act,plot_ppent,plot_ivaeq,plot_ivao,plot_intan,plot_ao,plot_lct,plot_txditc,plot_lo,plot_dltt,plot_ceq,plot_pstk,plot_mibn
6266,2017-12-31,2017,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,43088.0,11325.0,157303.0,60160.0,30675.0,85134.0,0.0,751.0,30537.0,27563.0,97143.0,0.0,17005.0,0.0,60160.0,8368.0,A,0.27391721709058314,0.10810346910103431,0.0,0.0047742255392459135,0.5412102757099356,0.07199481255920104,0.19412852901724698,0.053196696820785365,0.17522234159551947,0.1950058167994253,0.3824466157670229,0.0,0.0
6266,2018-12-31,2018,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,46033.0,11311.0,152954.0,59752.0,27684.0,78064.0,0.0,511.0,31230.0,26782.0,93202.0,0.0,17035.0,0.0,59752.0,7506.0,A,0.3009597656811852,0.11137335408031172,0.0,0.003340873726741373,0.5103756685016411,0.07395033801012069,0.20417903421943853,0.04907357767694862,0.17509839559606155,0.18099559344639565,0.39065339906115565,0.0,0.0
6266,2019-12-31,2019,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,45274.0,10697.0,157728.0,59471.0,27210.0,81282.0,0.0,1860.0,35964.0,29125.0,98257.0,0.0,18615.0,0.0,59471.0,5958.0,A,0.28703844593223776,0.1180196287279367,0.0,0.01179245283018868,0.5153301886792453,0.06781928383039156,0.22801278149726112,0.03777388922702374,0.18465332724690606,0.17251217285453438,0.3770478291742747,0.0,0.0
6266,2020-12-31,2020,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,51237.0,11877.0,174894.0,63278.0,32635.0,89795.0,0.0,2219.0,42493.0,29274.0,111616.0,0.0,19766.0,0.0,63278.0,7214.0,A,0.2929603073861882,0.11301702745663088,0.0,0.012687685112125058,0.5134252747378412,0.06790970530721466,0.24296430981051378,0.0412478415497387,0.16738138529623658,0.18659873980811234,0.3618077235353986,0.0,0.0
6266,2021-12-31,2021,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,60979.0,17155.0,182018.0,74023.0,29985.0,81638.0,0.0,2384.0,45226.0,25297.0,107995.0,0.0,19862.0,0.0,74023.0,7487.0,A,0.33501631706754276,0.10912107593754464,0.0,0.013097605731301299,0.4485160808271709,0.09424892043644036,0.24846993154523178,0.04113329450933424,0.1389807601446011,0.16473645463635464,0.40667955916447823,0.0,0.0
6266,2022-12-31,2022,INDL,C,D,STD,JNJ,JOHNSON & JOHNSON,USD,55294.0,16351.0,187378.0,76804.0,26888.0,93556.0,0.0,1274.0,55802.0,21510.0,110574.0,0.0,20903.0,0.0,76804.0,6374.0,A,0.2950933407337041,0.11155525195060252,0.0,0.006799090608289127,0.4992902048266072,0.0872621118807971,0.29780443808771573,0.03401680026470557,0.11479469308029758,0.14349603475327946,0.40988803381400163,0.0,0.0
6730,2010-12-31,2010,INDL,C,D,STD,LLY,LILLY (ELI) & CO,USD,14840.0,1622.4,31001.4,12420.3,6770.5,4818.8,0.0,1779.5,7101.4,4716.7,18588.6,-7.5,7940.7,0.0,12412.8,0.0,A,0.47868805924893715,0.2561400452882773,0.0,0.05740063351977653,0.15543814150328694,0.052333120439722075,0.2290670743901888,0.0,0.15214474185036803,0.21839336288038605,0.40063674543730277,0.0,-0.00024192455824575664
6730,2011-12-31,2011,INDL,C,D,STD,LLY,LILLY (ELI) & CO,USD,14248.2,2493.4,33659.8,13541.7,5464.7,5128.1,0.0,4029.8,8930.9,5728.6,20124.2,-6.1,7760.3,0.0,13535.6,0.0,A,0.4233001978621382,0.23055098366597543,0.0,0.11972144813694674,0.1523508755251071,0.0740764948098325,0.2653283739059649,0.0,0.17019114789749196,0.1623509349431666,0.4023107683349277,0.0,-0.00018122508155128667
6730,2012-12-31,2012,INDL,C,D,STD,LLY,LILLY (ELI) & CO,USD,13038.7,2534.0,34398.9,14765.2,5519.4,4752.7,0.0,6313.3,8389.5,5716.1,19625.0,8.7,7760.2,0.0,14773.9,0.0,A,0.37904409734032196,0.22559442307748212,0.0,0.1835320315475204,0.13816430176546343,0.0736651462692121,0.2438886127172671,0.0,0.16617101128233752,0.1604528051769097,0.42923465575934117,0.0,0.000252915064144493
6730,2013-12-31,2013,INDL,C,D,STD,LLY,LILLY (ELI) & CO,USD,13104.7,2212.5,35248.7,17631.4,4200.3,4331.1,0.0,7624.9,8916.6,4491.1,17608.0,9.3,7975.5,0.0,17640.7,0.0,A,0.3717782499780134,0.22626366362447412,0.0,0.21631719751366718,0.12287261657876747,0.06276827230507792,0.25296252060359675,0.0,0.12741179107314599,0.11916184142961302,0.5002000073761587,0.0,0.0002638395174857513
6730,2014-12-31,2014,INDL,C,D,STD,LLY,LILLY (ELI) & CO,USD,12179.8,7823.3,37178.2,15373.2,5367.7,4642.3,0.0,4568.9,11207.5,5214.9,21790.1,14.9,7963.9,0.0,15388.1,0.0,A,0.3276059626340167,0.21420886433447558,0.0,0.12289190977508324,0.12486618502240562,0.21042707823401888,0.3014535399777289,0.0,0.14026768375015466,0.14437761914240066,0.413500384634006,0.0,0.0004007724957098515
6730,2015-12-31,2015,INDL,C,D,STD,LLY,LILLY (ELI) & CO,USD,12573.6,2220.5,35568.9,14571.3,7972.4,9074.7,0.0,3646.6,8229.6,4776.6,20978.6,19.0,8053.5,0.0,14590.3,0.0,A,0.35349982709614297,0.2264197093528335,0.0,0.10252214715664526,0.2551301839528352,0.06242813244154303,0.23137066369778092,0.0,0.13429147373126524,0.22413962759601785,0.4096640604573096,0.0,0.0005341745176263533
6730,2016-12-31,2016,INDL,C,D,STD,LLY,LILLY (ELI) & CO,USD,15101.4,1913.8,38805.9,14007.7,8367.8,8330.6,0.0,5207.5,10986.6,5371.0,24725.4,72.8,8252.6,0.0,14080.5,0.0,A,0.3891521650058367,0.2126635382763961,0.0,0.13419351181134828,0.21467354190986424,0.04931724299655464,0.2831167425571885,0.0,0.13840678865842565,0.21563215902736438,0.3609683063657846,0.0,0.0018760033912368994
6730,2017-12-31,2017,INDL,C,D,STD,LLY,LILLY (ELI) & CO,USD,19202.1,2874.3,44981.0,11592.2,9940.5,8399.3,0.0,5678.8,14535.9,8836.7,33313.1,75.7,8826.5,0.0,11667.9,0.0,A,0.42689357728818833,0.1962272959694093,0.0,0.1262488606300438,0.18672995264667303,0.06390031346568552,0.3231564438318401,0.0,0.196454058380205,0.22099330828572064,0.257713256708388,0.0,0.0016829327938462906
6730,2018-12-31,2018,INDL,C,D,STD,LLY,LILLY (ELI) & CO,USD,20549.6,4550.1,43908.4,9828.7,11639.7,7868.5,719.2,1301.5,11888.1,9471.5,32999.3,1080.4,8919.5,0.0,10909.1,0.0,A,0.4680106767725537,0.2031388071530732,0.016379553798362045,0.029641253154293938,0.17920261271191845,0.10362709640979859,0.2707477384737317,0.0,0.2157104335389128,0.26509050660010386,0.22384555119293803,0.0,0.024605770194313616
6730,2019-12-31,2019,INDL,C,D,STD,LLY,LILLY (ELI) & CO,USD,13709.6,4911.7,39286.1,2606.9,14304.6,10297.4,704.4,1258.0,11775.2,8319.7,36587.0,92.2,8405.0,0.0,2699.1,2187.5,A,0.34896821013030055,0.21394335401070608,0.017930005778125088,0.03202150378887189,0.262113062889928,0.12502386340206842,0.29972942083841364,0.0556812714929708,0.2117721026011745,0.36411351597638864,0.06635680304229741,0.0,0.0023468860487551577
6730,2020-12-31,2020,INDL,C,D,STD,LLY,LILLY (ELI) & CO,USD,17462.1,6305.8,46633.1,5641.6,16586.6,11216.5,845.7,2121.1,12481.6,9639.8,40807.9,183.6,8681.9,0.0,5825.2,2099.9,A,0.3744571988566061,0.18617462703530324,0.018135187238249226,0.0454848594667736,0.24052657876057995,0.13522154864248787,0.26765537783248383,0.04503024675605954,0.20671583060101087,0.3556829805438626,0.12097844663983309,0.0,0.003937117626750098
6730,2021-12-31,2021,INDL,C,D,STD,LLY,LILLY (ELI) & CO,USD,18452.4,6572.0,48806.0,8979.2,15346.4,11583.9,771.5,2441.1,15052.7,7518.4,39651.2,175.6,8985.1,0.0,9154.8,1733.7,A,0.3780764660082777,0.18409826660656478,0.015807482686554932,0.05001639142728353,0.23734581813711428,0.1346555751342048,0.30841904683850346,0.035522271851821496,0.15404663361062162,0.31443674957996964,0.18397737983034873,0.0,0.0035979182887349915
6730,2022-12-31,2022,INDL,C,D,STD,LLY,LILLY (ELI) & CO,USD,18034.5,7129.9,49489.8,10649.8,14737.5,11279.6,781.1,2120.7,17138.2,6751.4,38714.4,125.6,10144.0,0.0,10775.4,87.3,A,0.3644084235539444,0.20497152948688416,0.015783050244696888,0.0428512541978347,0.22791767192431572,0.14406807059232407,0.34629762092390753,0.0017639998545154758,0.13642002998597688,0.29778863523392696,0.21519181730376763,0.0,0.0025378966979054266
7257,2010-12-31,2010,INDL,C,D,STD,MRK,MERCK & CO,USD,29064.0,5132.0,105781.0,54376.0,15482.0,51834.0,494.0,2175.0,15641.0,10442.0,48976.0,2429.0,17082.0,0.0,56805.0,7411.0,A,0.2747563362040442,0.16148457662529186,0.0046700258080373605,0.020561348446318337,0.49001238407653547,0.04851532883977274,0.1478620924362598,0.07005984061409894,0.0987133795294051,0.14635898696363242,0.5140431646514969,0.0,0.022962535805106776
7257,2011-12-31,2011,INDL,C,D,STD,MRK,MERCK & CO,USD,33181.0,4849.0,105128.0,54517.0,15525.0,46457.0,886.0,3458.0,16245.0,10789.0,48185.0,2426.0,16297.0,0.0,56943.0,5626.0,A,0.31562476219465796,0.1550205463815539,0.00842782132257819,0.032893234913629096,0.44190891104177765,0.04612472414580321,0.15452591127007076,0.05351571417700327,0.10262727341907009,0.14767711741876569,0.518577353321665,0.0,0.023076630393425158
7257,2012-12-31,2012,INDL,C,D,STD,MRK,MERCK & CO,USD,34857.0,5423.0,106132.0,53020.0,16254.0,41217.0,1300.0,7305.0,18348.0,10327.0,50669.0,2443.0,16030.0,0.0,55463.0,5740.0,A,0.32843063355067276,0.15103832962725663,0.01224889759921607,0.06882938227867184,0.38835600949760674,0.05109674744657596,0.17287905626955113,0.05408359401500019,0.09730335808238796,0.15314890890589078,0.4995665774695662,0.0,0.02301850525760374
7257,2013-12-31,2013,INDL,C,D,STD,MRK,MERCK & CO,USD,35685.0,7515.0,105645.0,49765.0,20539.0,36102.0,1600.0,9770.0,17868.0,8136.0,53319.0,2561.0,14973.0,0.0,52326.0,6776.0,A,0.33778219508732077,0.14172937668607127,0.015145061290169909,0.09247953050310001,0.3417293766860713,0.07113445974726679,0.16913247195797246,0.06413933456386957,0.07701263666051399,0.19441525864924986,0.4710587344408159,0.0,0.02424156372757821
