gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,act,ao,at,ceq,dltt,intan,ivaeq,ivao,lct,lo,lt,mibn,ppent,pstk,teq,txditc,costat
003144,2014-12-31,2014,INDL,C,D,STD,KO,COCA-COLA CO,USD,32986.0000,3339.0000,92023.0000,30320.0000,19063.0000,26372.0000,9947.0000,4746.0000,32374.0000,4389.0000,61462.0000,241.0000,14633.0000,0.0000,30561.0000,5636.0000,A
003144,2015-12-31,2015,INDL,C,D,STD,KO,COCA-COLA CO,USD,33395.0000,3189.0000,90093.0000,25554.0000,28407.0000,24132.0000,12318.0000,4488.0000,26930.0000,4301.0000,64329.0000,210.0000,12571.0000,0.0000,25764.0000,4691.0000,A
003144,2016-12-31,2016,INDL,C,D,STD,KO,COCA-COLA CO,USD,34010.0000,3033.0000,87270.0000,23062.0000,29684.0000,21128.0000,16260.0000,2204.0000,26532.0000,4081.0000,64050.0000,158.0000,10635.0000,0.0000,23220.0000,3753.0000,A
003144,2017-12-31,2017,INDL,C,D,STD,KO,COCA-COLA CO,USD,36545.0000,3283.0000,87896.0000,17072.0000,31182.0000,16636.0000,20856.0000,2373.0000,27194.0000,8021.0000,68919.0000,1905.0000,8203.0000,0.0000,18977.0000,2522.0000,A
003144,2018-12-31,2018,INDL,C,D,STD,KO,COCA-COLA CO,USD,30634.0000,5635.0000,83216.0000,16981.0000,25364.0000,17270.0000,19407.0000,2038.0000,29223.0000,7638.0000,64158.0000,2077.0000,8232.0000,0.0000,19058.0000,1933.0000,A
003144,2019-12-31,2019,INDL,C,D,STD,KO,COCA-COLA CO,USD,20411.0000,5691.0000,86381.0000,18981.0000,28627.0000,26766.0000,19025.0000,2278.0000,26973.0000,7399.0000,65283.0000,2117.0000,12210.0000,0.0000,21098.0000,2284.0000,A
003144,2020-12-31,2020,INDL,C,D,STD,KO,COCA-COLA CO,USD,19240.0000,5529.0000,87296.0000,19299.0000,41425.0000,28550.0000,19273.0000,2379.0000,14601.0000,8153.0000,66012.0000,1985.0000,12325.0000,0.0000,21284.0000,1833.0000,A
003144,2021-12-31,2021,INDL,C,D,STD,KO,COCA-COLA CO,USD,22545.0000,5600.0000,94354.0000,22999.0000,39277.0000,34613.0000,17598.0000,2660.0000,19950.0000,7446.0000,69494.0000,1861.0000,11338.0000,0.0000,24860.0000,2821.0000,A
003144,2022-12-31,2022,INDL,C,D,STD,KO,COCA-COLA CO,USD,22591.0000,5004.0000,92763.0000,24105.0000,37490.0000,33631.0000,18264.0000,2026.0000,19724.0000,6809.0000,66937.0000,1721.0000,11247.0000,0.0000,25826.0000,2914.0000,A
004503,2010-12-31,2010,INDL,C,D,STD,XOM,EXXON MOBIL CORP,USD,58984.0000,8640.0000,302510.0000,146839.0000,12227.0000,,26715.0000,8623.0000,62633.0000,39821.0000,149831.0000,5840.0000,199548.0000,0.0000,152679.0000,35150.0000,A
004503,2011-12-31,2011,INDL,C,D,STD,XOM,EXXON MOBIL CORP,USD,72963.0000,9092.0000,331052.0000,154396.0000,9322.0000,,26708.0000,7625.0000,77505.0000,46863.0000,170308.0000,6348.0000,214664.0000,0.0000,160744.0000,36618.0000,A
004503,2012-12-31,2012,INDL,C,D,STD,XOM,EXXON MOBIL CORP,USD,64460.0000,7668.0000,333795.0000,165863.0000,7928.0000,,28489.0000,6229.0000,64139.0000,52498.0000,162135.0000,5797.0000,226949.0000,0.0000,171660.0000,37570.0000,A
004503,2013-12-31,2013,INDL,C,D,STD,XOM,EXXON MOBIL CORP,USD,59308.0000,7522.0000,346808.0000,174003.0000,6891.0000,,30095.0000,6233.0000,71724.0000,47168.0000,166313.0000,6492.0000,243650.0000,0.0000,180495.0000,40530.0000,A
004503,2014-12-31,2014,INDL,C,D,STD,XOM,EXXON MOBIL CORP,USD,52910.0000,8676.0000,349493.0000,174399.0000,11653.0000,,29835.0000,5404.0000,64633.0000,52913.0000,168429.0000,6665.0000,252668.0000,0.0000,181064.0000,39230.0000,A
004503,2015-12-31,2015,INDL,C,D,STD,XOM,EXXON MOBIL CORP,USD,42623.0000,8285.0000,336758.0000,170811.0000,19925.0000,,29447.0000,4798.0000,53976.0000,49229.0000,159948.0000,5999.0000,251605.0000,0.0000,176810.0000,36818.0000,A
004503,2016-12-31,2016,INDL,C,D,STD,XOM,EXXON MOBIL CORP,USD,41416.0000,9572.0000,330314.0000,167325.0000,28932.0000,,30253.0000,4849.0000,47638.0000,45873.0000,156484.0000,6505.0000,244224.0000,0.0000,173830.0000,34041.0000,A
004503,2017-12-31,2017,INDL,C,D,STD,XOM,EXXON MOBIL CORP,USD,47134.0000,9767.0000,348691.0000,187688.0000,24406.0000,,33466.0000,5694.0000,57771.0000,45121.0000,154191.0000,6812.0000,252630.0000,0.0000,194500.0000,26893.0000,A
004503,2018-12-31,2018,INDL,C,D,STD,XOM,EXXON MOBIL CORP,USD,47973.0000,10332.0000,346196.0000,191794.0000,20538.0000,,34990.0000,5800.0000,57138.0000,42748.0000,147668.0000,6734.0000,247101.0000,0.0000,198528.0000,27244.0000,A
004503,2019-12-31,2019,INDL,C,D,STD,XOM,EXXON MOBIL CORP,USD,50052.0000,9730.0000,362597.0000,191650.0000,30963.0000,,37833.0000,5331.0000,63989.0000,43087.0000,163659.0000,7288.0000,259651.0000,0.0000,198938.0000,25620.0000,A
004503,2020-12-31,2020,INDL,C,D,STD,XOM,EXXON MOBIL CORP,USD,44893.0000,10711.0000,332750.0000,157150.0000,51311.0000,,38584.0000,4931.0000,56363.0000,42781.0000,168620.0000,6980.0000,233631.0000,0.0000,164130.0000,18165.0000,A
004503,2021-12-31,2021,INDL,C,D,STD,XOM,EXXON MOBIL CORP,USD,59154.0000,11940.0000,338923.0000,168577.0000,47382.0000,,39551.0000,5644.0000,56643.0000,39050.0000,163240.0000,7106.0000,222634.0000,0.0000,175683.0000,20165.0000,A
004503,2022-12-31,2022,INDL,C,D,STD,XOM,EXXON MOBIL CORP,USD,97631.0000,10500.0000,369067.0000,195049.0000,44752.0000,,42571.0000,7222.0000,69045.0000,29923.0000,166594.0000,7424.0000,211143.0000,0.0000,202473.0000,22874.0000,A
005680,2010-01-31,2009,INDL,C,D,STD,HD,HOME DEPOT INC,USD,13900.0000,223.0000,40877.0000,19393.0000,8662.0000,1171.0000,0.0000,33.0000,10363.0000,2140.0000,21484.0000,0.0000,25550.0000,0.0000,19393.0000,319.0000,A
005680,2011-01-31,2010,INDL,C,D,STD,HD,HOME DEPOT INC,USD,13479.0000,260.0000,40125.0000,18889.0000,8707.0000,1187.0000,0.0000,139.0000,10122.0000,2135.0000,21236.0000,0.0000,25060.0000,0.0000,18889.0000,272.0000,A
005680,2012-01-31,2011,INDL,C,D,STD,HD,HOME DEPOT INC,USD,14520.0000,295.0000,40518.0000,17898.0000,10758.0000,1120.0000,0.0000,135.0000,9376.0000,2146.0000,22620.0000,0.0000,24448.0000,0.0000,17898.0000,340.0000,A
005680,2013-01-31,2012,INDL,C,D,STD,HD,HOME DEPOT INC,USD,15372.0000,333.0000,41084.0000,17777.0000,9475.0000,1170.0000,0.0000,140.0000,11462.0000,2051.0000,23307.0000,0.0000,24069.0000,0.0000,17777.0000,319.0000,A
005680,2014-01-31,2013,INDL,C,D,STD,HD,HOME DEPOT INC,USD,15279.0000,602.0000,40518.0000,12522.0000,14691.0000,1289.0000,0.0000,0.0000,10749.0000,2042.0000,27996.0000,0.0000,23348.0000,0.0000,12522.0000,514.0000,A
005680,2015-01-31,2014,INDL,C,D,STD,HD,HOME DEPOT INC,USD,15302.0000,571.0000,39946.0000,9322.0000,16869.0000,1353.0000,0.0000,,11269.0000,1844.0000,30624.0000,0.0000,22720.0000,0.0000,9322.0000,642.0000,A
005680,2016-01-31,2015,INDL,C,D,STD,HD,HOME DEPOT INC,USD,16993.0000,1263.0000,42549.0000,6316.0000,20888.0000,2102.0000,0.0000,,12526.0000,1965.0000,36233.0000,0.0000,22191.0000,0.0000,6316.0000,854.0000,A
005680,2017-01-31,2016,INDL,C,D,STD,HD,HOME DEPOT INC,USD,17724.0000,1235.0000,42966.0000,4333.0000,22349.0000,2093.0000,0.0000,,14133.0000,1855.0000,38633.0000,0.0000,21914.0000,0.0000,4333.0000,296.0000,A
005680,2018-01-31,2017,INDL,C,D,STD,HD,HOME DEPOT INC,USD,18933.0000,1246.0000,44529.0000,1454.0000,24267.0000,2275.0000,0.0000,0.0000,16194.0000,2174.0000,43075.0000,0.0000,22075.0000,0.0000,1454.0000,440.0000,A
005680,2019-01-31,2018,INDL,C,D,STD,HD,HOME DEPOT INC,USD,18529.0000,847.0000,44003.0000,-1878.0000,26807.0000,2252.0000,0.0000,0.0000,16716.0000,1867.0000,45881.0000,0.0000,22375.0000,0.0000,-1878.0000,491.0000,A
005680,2020-01-31,2019,INDL,C,D,STD,HD,HOME DEPOT INC,USD,19810.0000,807.0000,51236.0000,-3116.0000,33736.0000,2254.0000,0.0000,0.0000,18375.0000,1535.0000,54352.0000,0.0000,28365.0000,0.0000,-3116.0000,706.0000,A
005680,2021-01-31,2020,INDL,C,D,STD,HD,HOME DEPOT INC,USD,28477.0000,699.0000,70581.0000,3299.0000,41178.0000,10738.0000,0.0000,0.0000,23166.0000,1807.0000,67282.0000,0.0000,30667.0000,0.0000,3299.0000,1131.0000,A
005680,2022-01-31,2021,INDL,C,D,STD,HD,HOME DEPOT INC,USD,29055.0000,702.0000,71876.0000,-1696.0000,41957.0000,10952.0000,0.0000,0.0000,28693.0000,2013.0000,73572.0000,0.0000,31167.0000,0.0000,-1696.0000,909.0000,A
005680,2023-01-31,2022,INDL,C,D,STD,HD,HOME DEPOT INC,USD,32471.0000,3958.0000,76445.0000,1562.0000,48188.0000,7444.0000,0.0000,0.0000,23110.0000,3585.0000,74883.0000,0.0000,32572.0000,0.0000,1562.0000,,A
006008,2010-12-31,2010,INDL,C,D,STD,INTC,INTEL CORP,USD,31611.0000,847.0000,63186.0000,49430.0000,2077.0000,5391.0000,1791.0000,5647.0000,9327.0000,1426.0000,13756.0000,0.0000,17899.0000,0.0000,49430.0000,926.0000,A
006008,2011-12-31,2011,INDL,C,D,STD,INTC,INTEL CORP,USD,25872.0000,1135.0000,71119.0000,45911.0000,7084.0000,15521.0000,1669.0000,3295.0000,12028.0000,3479.0000,25208.0000,0.0000,23627.0000,0.0000,45911.0000,2617.0000,A
006008,2012-12-31,2012,INDL,C,D,STD,INTC,INTEL CORP,USD,31358.0000,1310.0000,84351.0000,51203.0000,13136.0000,15945.0000,992.0000,6763.0000,12898.0000,3702.0000,33148.0000,0.0000,27983.0000,0.0000,51203.0000,3412.0000,A
006008,2013-12-31,2013,INDL,C,D,STD,INTC,INTEL CORP,USD,32084.0000,2229.0000,92358.0000,58256.0000,13165.0000,15663.0000,1038.0000,9916.0000,13568.0000,2972.0000,34102.0000,0.0000,31428.0000,0.0000,58256.0000,4397.0000,A
006008,2014-12-31,2014,INDL,C,D,STD,INTC,INTEL CORP,USD,27730.0000,2930.0000,91956.0000,55865.0000,12107.0000,15307.0000,1446.0000,11305.0000,16019.0000,3278.0000,35179.0000,0.0000,33238.0000,912.0000,56777.0000,3775.0000,A
006008,2015-12-31,2015,INDL,C,D,STD,INTC,INTEL CORP,USD,40356.0000,2252.0000,103065.0000,61085.0000,20036.0000,15265.0000,1590.0000,11744.0000,15667.0000,2841.0000,41083.0000,0.0000,31858.0000,897.0000,61982.0000,2539.0000,A
006008,2016-12-31,2016,INDL,C,D,STD,INTC,INTEL CORP,USD,35508.0000,2434.0000,113327.0000,66226.0000,20649.0000,23593.0000,1328.0000,14293.0000,20302.0000,3538.0000,46219.0000,0.0000,36171.0000,882.0000,67108.0000,1730.0000,A
006008,2017-12-31,2017,INDL,C,D,STD,INTC,INTEL CORP,USD,29500.0000,2242.0000,123249.0000,69019.0000,25037.0000,37134.0000,1887.0000,11377.0000,17421.0000,7860.0000,53364.0000,0.0000,41109.0000,866.0000,69885.0000,3046.0000,A
006008,2018-12-31,2018,INDL,C,D,STD,INTC,INTEL CORP,USD,28787.0000,3942.0000,127963.0000,74563.0000,25098.0000,36349.0000,1624.0000,8285.0000,16626.0000,9592.0000,52981.0000,0.0000,48976.0000,419.0000,74982.0000,1665.0000,A
